Course,SLO,Question_ID,Question_Text,Option_A,Option_B,Option_C,Option_D,Option_E,Correct_Answer
ACCT200,LO1,Q1ACCT200LO1:C,Which of the following describes the primary objective of the balance sheet?,To measure the net income of a business up to a particular point in time.,To report the difference between cash inflows and cash outflows for the period.,To report the financial position of the business at a particular point in time.,"To report the market value of assets, liabilities, and stockholders' equity at a particular point in time.",,C
ACCT200,LO1,Q2ACCT200LO1:C,Which financial statement would you use to determine a company's earnings performance during an accounting period?,Balance sheet.,Statement of stockholders' equity.,Income statement.,Statement of cash flows.,,C
ACCT200,LO1,Q3ACCT200LO1:C,Which of the following transactions increases both cash and net income?,Cash receipts from a bank loan.,Cash receipts from sale of common stock.,Cash receipts from customers for services provided.,Cash receipts from cost of goods sold.,,C
ACCT200,LO2,Q1ACCT200LO2:B,"Which of the following statements is false when Mama June Pizza Company paid $47,000 cash on accounts owed to suppliers?","Cash decreased by $47,000.","Supplies expense increased by $47,000.","Accounts payable decreased by $47,000.",Operating income was not changed by the payment to suppliers.,,B
ACCT200,LO2,Q2ACCT200LO2:B,Which of the following is a requirement of the revenue recognition principle?,The delivery of goods or performance of service has been scheduled.,The delivery of goods or performance of service has been completed.,The customer has signed a contract.,The customer has paid for the goods or services.,,B
ACCT200,LO2,Q3ACCT200LO2:B,"Naomi's Printing Shop had the following information for office supplies: • Ordered $1,200 of supplies March 3 • Received the order of supplies on March 16 • Used one-third of the received supplies during March What is the total amount that should be reported as supplies expense for the month of March?",$0,$400,$800,"$1,200",,B
ACCT200,LO3,Q1ACCT200LO3:A,Which of the following best describes the goal of internal controls?,Improving the accuracy and the reliability of financial information.,Ensuring the business is profitable.,Enhancing the health of employees.,Ensuring the compliance with tax regulations.,,A
ACCT200,LO3,Q2ACCT200LO3:A,Separation of duties refers to:,Individuals who have physical responsibility for assets should not also have access to accounting records.,Making each manager personally responsible for his/her department.,Keeping functions across different departments separate.,Preventing top management and lower-level employees from interacting.,,A
ACCT200,LO3,Q3ACCT200LO3:A,"When preparing a bank reconciliation, a deposit outstanding (in transit) would be:",Added to the bank's cash balance.,Added to the company's cash balance.,Subtracted from the company's cash balance.,Subtracted from the bank's cash balance.,,A
ACCT200,LO4,Q1ACCT200LO4:B,"Brad’s BBQ purchased a piece of equipment by paying $5,000 cash. Brad’s also incurred a shipping cost of $400 to get the equipment to the factory. The fair value of this equipment is $7,000. For what amount should Brad’s BBQ record the equipment","$5,000","$5,400","$7,000","$7,400",,B
ACCT200,LO4,Q2ACCT200LO4:B,Which of the following statements is true about depreciation:,Depreciation is recorded so the accounting records show the fair value of an asset.,Depreciation is a non-cash expense.,Depreciation is calculated for all long-term assets.,None of the other answers is correct.,,B
ACCT200,LO4,Q3ACCT200LO4:B,"A machine has a cost of $15,000, an estimated residual value of $3,000, and an estimated useful life of four years. The machine is being depreciated on a straight-line basis. At the end of the second year, what amount will be reported for accumulated depreciation?","$3,000","$6,000","$7,500","$9,000",,B
ACCT200,LO5,Q1ACCT200LO5:D,The cash collection from the sale of a good or service is classified in the statement of cash flows as a(n):,Investing activity.,Financing activity.,Noncash activity.,Operating activity.,,D
ACCT200,LO5,Q2ACCT200LO5:D,The payment of salaries is classified in the statement of cash flows as a(n):,Investing activity.,Financing activity.,Noncash activity.,Operating activity.,,D
ACCT200,LO5,Q3ACCT200LO5:D,Cash received from issuing common stock would be classified in which section of the Statement of Cash Flows?,Not shown in the Statement of Cash Flows.,Investing.,Operating.,Financing.,,D
ACCT201,LO1,Q1ACCT201LO1:C,"Bellamy Corporation sells its product for $250 per unit. Variable expenses are $100 per unit, and fixed costs are $350,000 per year. How would Bellamy calculate the number of units it needs to sell to earn a profit of $125,000?","($350,000 - $125,000) ÷ ($250 - $100)","($350,000 + $125,000) ÷ $250","($350,000 + $125,000) ÷ ($250 - $150)","$350,000 ÷ ($250 - $100)",None of the other answers is correct.,C
ACCT201,LO1,Q2ACCT201LO1:C,"Bellamy Corporation sells its product for $250 per unit. Variable expenses are $100 per unit, and fixed costs are $350,000 per year. What is Bellamy’s break-even point in revenue dollars, rounded to the nearest dollar?","$291,667","$350,000","$583,333","$875,000",None of the other answers is correct.,C
ACCT201,LO1,Q3ACCT201LO1:C,"Bellamy Corporation sells its product for $250 per unit. Variable expenses are $100 per unit, and fixed costs are $350,000 per year. How much would operating income change if sales increased by 100 units, with everything else staying the same?","Operating income would increase by $10,000","Operating income would increase by $25,000","Operating income would increase by $15,000",There is not enough information to answer the question.,None of the other answers is correct.,C
ACCT201,LO2,Q1ACCT201LO2:A,"Honeybear Corporation usually sells product A90 for $25 each. Honeybear has received a request for a special order of 6,000 units of product A90 for $21.20 each. Product A90's normal product cost is $16.20 per unit, determined as follows: Cost Amount per unit Direct Materials $6.10 Direct labor $4.20 Variable manufacturing overhead $2.30 Fixed manufacturing overhead $3.60 Total $16.20 The customer would like modifications made to product A90 that would increase the direct material costs by $3.00 per unit. The modifications would also require an investment of $21,000 in special molds that would have no value other than for this special order. Direct labor is a variable cost. The special order would have no effect on the company's total fixed manufacturing overhead. The company has enough spare capacity for the special order. Which one of the following costs would NOT be relevant to Honeybear’s decision whether to accept the special order?",Regular selling price of $25 per unit,Special selling price of $21.20 per unit,Direct materials of $6.10 per unit,Direct labor of $4.20 per unit,None of the other answers is correct.,A
ACCT201,LO2,Q2ACCT201LO2:A,"Honeybear Corporation usually sells product A90 for $25 each. Honeybear has received a request for a special order of 6,000 units of product A90 for $21.20 each. Product A90's normal product cost is $16.20 per unit, determined as follows: Cost Amount per unit Direct Materials $6.10 Direct labor $4.20 Variable manufacturing overhead $2.30 Fixed manufacturing overhead $3.60 Total $16.20 The customer would like modifications made to product A90 that would increase the direct material costs by $3.00 per unit. The modifications would also require an investment of $21,000 in special molds that would have no value other than for this special order. Direct labor is a variable cost. The special order would have no effect on the company's total fixed manufacturing overhead. The company has enough spare capacity for the special order. Which one of the following costs would NOT be relevant to Honeybear’s decision whether to accept the special order?",Fixed manufacturing overhead of $3.60 per unit,Variable manufacturing overhead of $2.30 per unit,Additional direct materials of $3.00 per unit,"Special molds of $21,000",None of the other answers is correct.,A
ACCT201,LO2,Q3ACCT201LO2:A,"Honeybear Corporation usually sells product A90 for $25 each. Honeybear has received a request for a special order of 6,000 units of product A90 for $21.20 each. Product A90's normal product cost is $16.20 per unit, determined as follows: Cost Amount per unit Direct Materials $6.10 Direct labor $4.20 Variable manufacturing overhead $2.30 Fixed manufacturing overhead $3.60 Total $16.20 The customer would like modifications made to product A90 that would increase the direct material costs by $3.00 per unit. The modifications would also require an investment of $21,000 in special molds that would have no value other than for this special order. Direct labor is a variable cost. The special order would have no effect on the company's total fixed manufacturing overhead. The company has enough spare capacity for the special order. If Honeybear did not have enough spare capacity for the special order, how would its break-even price for this order change?",The break-even price would increase.,The break-even price would decrease.,The break-even price would not change.,There is not enough information to answer the question.,None of the other answers is correct.,A
ACCT201,LO3,Q1ACCT201LO3:D,"When applying manufacturing overhead to products, the formula to calculate the amount is as follows:",Predetermined overhead rate divided by the actual manufacturing overhead incurred on the product.,Predetermined overhead rate times the actual manufacturing overhead incurred on the product.,Predetermined overhead rate divided by the actual units of allocation base used by the product.,Predetermined overhead rate times the actual units of allocation base used by the product.,None of the above answers is correct.,D
